Sport_Name,Cluster_2,PC1,PC2,PC3,PC4,Cluster_2_Label
,0,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,Contact
soccer,0,-0.22469158166670192,0.3796238833124937,0.9184332811501624,-0.2403160586239592,Contact
lacrosse,0,-0.2729330401917228,-0.46214825407259735,-0.14898617596365202,-0.07681606619597649,Contact
,0,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,Contact
fencing,1,0.032206034217846444,0.8496734003872463,-0.2969906298719264,-0.00013070941983285258,Collision
golf,0,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,Contact
soccer,1,0.955779684381952,-0.23543411599147873,0.44516487992604103,0.6183121182863311,Collision
,1,0.8582253976205009,0.9453667484619765,0.39174230916835634,-0.17517415645522286,Collision
,1,0.38124726770346923,-0.03464837319110238,-0.5777355928656248,-0.12624692769293913,Collision
basketball,1,0.955779684381952,-0.23543411599147873,0.44516487992604103,0.6183121182863311,Collision
